Fuji_2MBI200XBE120-50_tj25_X;Fuji_2MBI200XBE120-50_tj25_Y;Fuji_2MBI200XBE120-50_tj125_X;Fuji_2MBI200XBE120-50_tj125_Y;Fuji_2MBI200XBE120-50_tj150_X;Fuji_2MBI200XBE120-50_tj150_Y;Fuji_2MBI200XBE120-50_tj175_X;Fuji_2MBI200XBE120-50_tj175_Y;Semikron_SKM400GB12T4_tj150_X;Semikron_SKM400GB12T4_tj150_Y
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;110.09;0.014321
17.257;0.0022147;17.257;0.0026512;17.257;0.0026621;17.257;0.0027571;133.89;0.016982
30.642;0.0033245;29.152;0.0038442;29.152;0.003994;29.152;0.004005;158.8;0.019259
51.346;0.0051715;41.047;0.0052254;41.047;0.0053332;41.047;0.0052674;183.72;0.021583
78.675;0.0073879;52.401;0.0062975;52.941;0.0064659;52.941;0.0065061;208.65;0.024255
104.73;0.0095475;64.836;0.0075859;64.836;0.0076791;64.836;0.007701;233.56;0.026398
115.84;0.010566;77.137;0.0086314;76.971;0.0088463;76.731;0.0090493;258.48;0.028901
126.16;0.011467;88.626;0.0092795;88.626;0.01008;88.626;0.010178;283.4;0.031361
138.1;0.012189;100.83;0.010847;100.52;0.011355;100.52;0.011614;308.32;0.033685
151.22;0.013232;110.47;0.011788;112.42;0.012524;112.42;0.0127;333.24;0.036034
163.24;0.014203;121.07;0.012752;124.31;0.013723;124.31;0.013906;358.16;0.038457
175.01;0.015255;134.04;0.014051;136.21;0.014921;136.21;0.015067;383.08;0.040868
187.03;0.016342;150.05;0.015686;148.1;0.015729;148.1;0.016094;408.0;0.043278
199.04;0.017546;160.0;0.016446;160.21;0.016957;160.0;0.017527;432.92;0.045689
212.86;0.01902;173.51;0.017791;171.89;0.018243;171.89;0.018816;457.84;0.048285
224.88;0.020339;187.03;0.019167;184.87;0.0199;183.78;0.020187;482.77;0.05079
236.46;0.021717;201.33;0.020963;196.76;0.02152;195.68;0.021634;507.69;0.053217
249.63;0.023321;211.9;0.022515;208.66;0.022746;207.57;0.023139;532.61;0.055763
265.01;0.025317;225.42;0.02391;220.86;0.024387;219.47;0.024783;557.54;0.058335
279.06;0.027166;237.31;0.025752;231.91;0.025888;231.36;0.026589;582.46;0.060782
293.0;0.02907;249.75;0.027367;248.67;0.028375;243.26;0.028375;607.38;0.063218
307.18;0.031092;262.18;0.029236;261.1;0.030412;255.15;0.030239;632.3;0.065665
320.58;0.033064;274.08;0.031025;270.83;0.031627;267.05;0.031964;657.22;0.068063
334.63;0.03522;285.97;0.032914;286.51;0.034361;278.94;0.033922;682.14;0.070462
348.27;0.037348;299.03;0.03505;298.65;0.036652;290.84;0.036202;707.06;0.072872
361.67;0.03947;310.66;0.037034;308.14;0.037892;302.73;0.038274;731.98;0.075246
375.3;0.041676;322.56;0.039063;322.2;0.040466;314.63;0.040532;756.9;0.077631
388.7;0.043841;335.35;0.041415;335.9;0.043002;326.52;0.042714;781.82;0.080005
398.76;0.044924;347.84;0.043663;343.28;0.044389;338.42;0.045049;799.94;0.081743
;;360.05;0.045997;357.88;0.04723;350.31;0.047394;;
;;372.84;0.048388;374.1;0.050409;362.21;0.049773;;
;;385.64;0.05076;387.54;0.053051;374.1;0.052174;;
;;397.27;0.052965;395.88;0.05455;386.0;0.054596;;
;;;;;;396.27;0.056623;;
