Fuji_2MBI100XAA120-50_tj25_X;Fuji_2MBI100XAA120-50_tj25_Y;Fuji_2MBI100XAA120-50_tj125_X;Fuji_2MBI100XAA120-50_tj125_Y;Fuji_2MBI100XAA120-50_tj150_X;Fuji_2MBI100XAA120-50_tj150_Y;Fuji_2MBI100XAA120-50_tj175_X;Fuji_2MBI100XAA120-50_tj175_Y;Fuji_2MBI200XAA065-50_tj25_X;Fuji_2MBI200XAA065-50_tj25_Y;Fuji_2MBI200XAA065-50_tj125_X;Fuji_2MBI200XAA065-50_tj125_Y;Fuji_2MBI200XAA065-50_tj150_X;Fuji_2MBI200XAA065-50_tj150_Y;Fuji_2MBI200XAA065-50_tj175_X;Fuji_2MBI200XAA065-50_tj175_Y;Infineon_FF200R12KE3_tj125_X;Infineon_FF200R12KE3_tj125_Y
0.57951;0.00755;0.59144;0.00979;0.59144;0.01035;0.59144;0.01088;0.59542;0.00601;0.59292;0.00777;0.60298;0.00821;0.60298;0.00891;2.8727;0.03474
0.67295;0.00754;0.77091;0.00977;0.68681;0.01034;0.68681;0.0109;0.7256;0.00598;0.76962;0.0078;0.70158;0.00824;0.7256;0.00891;3.5572;0.034521
0.78145;0.00752;0.99802;0.00975;0.90131;0.01031;0.79755;0.01092;0.88424;0.00598;0.99897;0.00776;0.91836;0.00822;0.87315;0.00891;4.2368;0.034338
0.90746;0.00752;1.30085;0.00975;1.03955;0.0103;0.92614;0.01092;1.09125;0.00598;1.29668;0.00768;1.05958;0.0082;1.0507;0.00891;4.9406;0.034018
1.05377;0.0075;1.69558;0.00978;1.35499;0.01032;1.07548;0.01092;1.32983;0.00597;1.68312;0.00756;1.37535;0.00809;1.26436;0.00891;5.669;0.034011
1.22369;0.0075;2.19511;0.00978;1.57346;0.01033;1.24889;0.01089;1.62058;0.00597;2.18471;0.00749;1.58685;0.00802;1.52147;0.00891;6.3732;0.034006
1.43068;0.0075;2.86118;0.00977;2.03702;0.01034;1.45026;0.01087;1.97305;0.00594;2.85975;0.00745;2.09471;0.00791;1.83086;0.00891;7.0289;0.034096
1.66137;0.0075;3.72937;0.00977;2.36547;0.01035;1.6841;0.01084;2.39657;0.00591;3.6809;0.0074;2.41682;0.00785;2.20317;0.00889;7.7579;0.034533
1.92924;0.0075;4.86099;0.00976;3.10426;0.01034;1.95564;0.01082;2.92054;0.00589;4.81823;0.00741;3.13707;0.00783;2.65119;0.00884;9.9204;0.035637
2.24032;0.0075;6.29307;0.00974;3.58038;0.01035;2.27097;0.01082;3.60428;0.00588;6.20174;0.00761;3.61947;0.0078;3.19031;0.00882;10.576;0.035939
2.60155;0.0075;8.20261;0.00973;4.66679;0.01034;2.63714;0.01082;4.3923;0.00581;8.11797;0.00776;4.69813;0.00783;3.83906;0.00882;11.305;0.036249
3.04162;0.00748;10.69157;0.00968;5.41927;0.01033;3.06236;0.01082;5.3526;0.00581;10.44896;0.00788;5.42059;0.0079;4.61973;0.00879;12.01;0.036542
3.53205;0.00747;13.84139;0.00963;7.11182;0.01032;3.55613;0.01082;6.51677;0.00582;13.44927;0.00813;7.15541;0.00817;5.55916;0.00873;12.698;0.036769
4.10156;0.00745;18.04135;0.00958;8.20261;0.0103;4.12953;0.01082;7.91562;0.00586;17.60487;0.00842;8.25574;0.00822;6.68961;0.00872;13.443;0.037063
4.7629;0.00745;23.35648;0.00959;10.69157;0.01026;4.79537;0.01084;9.64625;0.0059;22.65992;0.00868;10.71607;0.00834;8.04995;0.00873;14.172;0.037317
5.53087;0.00744;30.44365;0.00968;12.33141;0.01022;5.56858;0.01084;11.90455;0.006;;;12.82306;0.00865;9.68691;0.0088;14.876;0.037625
6.42267;0.00742;39.4126;0.00979;16.07319;0.01017;6.46646;0.01083;14.5073;0.00611;;;15.51744;0.00891;11.65675;0.00883;15.581;0.037983
7.45827;0.0074;51.37175;0.00991;18.66483;0.01016;7.50912;0.01082;17.45736;0.00629;;;18.67292;0.00907;14.02716;0.0089;16.294;0.038379
8.66084;0.0074;;;24.49427;0.01019;8.71989;0.01079;21.4539;0.00652;;;22.28179;0.00923;16.87959;0.00899;17.039;0.038779
10.05732;0.00738;;;28.25112;0.01024;10.12589;0.01078;24.03465;0.00669;;;;;20.31206;0.00916;17.744;0.039146
11.67897;0.00737;;;36.82349;0.01035;11.7586;0.01077;;;;;;;23.43555;0.00926;18.432;0.03951
13.56209;0.00736;;;42.47136;0.01042;13.65456;0.01077;;;;;;;;;19.177;0.03991
15.74885;0.00732;;;53.87428;0.01053;15.85623;0.01075;;;;;;;;;19.906;0.040267
18.28821;0.00726;;;;;18.4129;0.01069;;;;;;;;;20.57;0.040654
21.23701;0.00722;;;;;21.3818;0.01066;;;;;;;;;21.316;0.04104
24.82942;0.00722;;;;;24.82942;0.01069;;;;;;;;;22.02;0.041407
29.17783;0.00728;;;;;28.83292;0.01076;;;;;;;;;22.725;0.041755
33.88248;0.00734;;;;;33.48196;0.01085;;;;;;;;;23.454;0.042112
39.3457;0.00742;;;;;38.88061;0.01095;;;;;;;;;24.183;0.042469
45.68983;0.00749;;;;;45.14974;0.01105;;;;;;;;;24.887;0.042805
52.42971;0.00755;;;;;52.42971;0.01115;;;;;;;;;25.592;0.043137
;;;;;;;;;;;;;;;;26.102;0.043642
