X;Y
0.0010764;0.006334
0.0012582;0.0070777
0.0014706;0.0079389
0.0017189;0.0088372
0.0020091;0.0098509
0.0023484;0.010966
0.0027448;0.012283
0.0032082;0.013787
0.0037499;0.015379
0.0043833;0.016965
0.0051235;0.018846
0.0059888;0.020747
0.0070007;0.022618
0.0081833;0.024762
0.0095659;0.026977
0.011182;0.029534
0.013071;0.032377
0.015279;0.035347
0.01786;0.038886
0.020877;0.042394
0.024404;0.046154
0.028527;0.050598
0.033346;0.055316
0.038981;0.059848
0.045568;0.065067
0.053269;0.069862
0.062273;0.074803
0.072803;0.079154
0.085115;0.083063
0.09951;0.087044
0.11634;0.091027
0.13602;0.094271
0.15904;0.097225
0.18595;0.099509
0.21742;0.10156
0.25425;0.10089
0.29731;0.10023
0.34764;0.10082
0.4065;0.10184
0.47533;0.10201
0.55582;0.1019
0.64994;0.10193
0.75999;0.10197
0.88869;0.102
0.97474;0.10241
